GAME_ID,GAME_DT,PARK_ID
ANA201306040,20130604,ANA01
ANA201306050,20130605,ANA01
ANA201306140,20130614,ANA01
ANA201306150,20130615,ANA01
ANA201306160,20130616,ANA01
ANA201306170,20130617,ANA01
ANA201306180,20130618,ANA01
ANA201306190,20130619,ANA01
ANA201306200,20130620,ANA01
ANA201306210,20130621,ANA01
ANA201306220,20130622,ANA01
ANA201306230,20130623,ANA01
ANA201307020,20130702,ANA01
ANA201307030,20130703,ANA01
ANA201307040,20130704,ANA01
ANA201307050,20130705,ANA01
ANA201307060,20130706,ANA01
ANA201307070,20130707,ANA01
ANA201307190,20130719,ANA01
ANA201307200,20130720,ANA01
ANA201307210,20130721,ANA01
ANA201307220,20130722,ANA01
ANA201307230,20130723,ANA01
ANA201307240,20130724,ANA01
ANA201308010,20130801,ANA01
ANA201308020,20130802,ANA01
ANA201308030,20130803,ANA01
ANA201308040,20130804,ANA01
ANA201308050,20130805,ANA01
ANA201308060,20130806,ANA01
ANA201308070,20130807,ANA01
ANA201308160,20130816,ANA01
ANA201308170,20130817,ANA01
ANA201308180,20130818,ANA01
ANA201308190,20130819,ANA01
ANA201308200,20130820,ANA01
ANA201308210,20130821,ANA01
ANA201309020,20130902,ANA01
ANA201309030,20130903,ANA01
ANA201309040,20130904,ANA01
ANA201309050,20130905,ANA01
ANA201309060,20130906,ANA01
ANA201309070,20130907,ANA01
ANA201309080,20130908,ANA01
ANA201309200,20130920,ANA01
ANA201309210,20130921,ANA01
ANA201309220,20130922,ANA01
ANA201309230,20130923,ANA01
ANA201309240,20130924,ANA01
ANA201309250,20130925,ANA01
ARI201004050,100405,PHO01
ARI201004060,100406,PHO01
ARI201004070,100407,PHO01
ARI201004090,100409,PHO01
ARI201004100,100410,PHO01
ARI201004110,100411,PHO01
ARI201004190,100419,PHO01
ARI201004200,100420,PHO01
ARI201004210,100421,PHO01
ARI201004230,100423,PHO01
ARI201004240,100424,PHO01
ARI201004250,100425,PHO01
ARI201005070,100507,PHO01
ARI201005080,100508,PHO01
ARI201005090,100509,PHO01
ARI201005100,100510,PHO01
ARI201005110,100511,PHO01
ARI201005120,100512,PHO01
ARI201005190,100519,PHO01
ARI201005200,100520,PHO01
ARI201005210,100521,PHO01
ARI201005220,100522,PHO01
ARI201005230,100523,PHO01
ARI201006040,100604,PHO01
ARI201006050,100605,PHO01
ARI201006060,100606,PHO01
ARI201006070,100607,PHO01
ARI201006080,100608,PHO01
ARI201006090,100609,PHO01
ARI201006100,100610,PHO01
ARI201006110,100611,PHO01
ARI201006120,100612,PHO01
ARI201006130,100613,PHO01
ARI201006210,100621,PHO01
ARI201006220,100622,PHO01
ARI201006230,100623,PHO01
ARI201007020,100702,PHO01
ARI201007030,100703,PHO01
ARI201007040,100704,PHO01
ARI201007050,100705,PHO01
ARI201007060,100706,PHO01
ARI201007070,100707,PHO01
ARI201007080,100708,PHO01
ARI201007090,100709,PHO01
ARI201007100,100710,PHO01
ARI201007110,100711,PHO01
ARI201007190,100719,PHO01
ARI201007200,100720,PHO01
ARI201007210,100721,PHO01
ARI201007220,100722,PHO01
ARI201007230,100723,PHO01
ARI201007240,100724,PHO01
ARI201007250,100725,PHO01
ARI201008020,100802,PHO01
ARI201008030,100803,PHO01
ARI201008040,100804,PHO01
ARI201008050,100805,PHO01
ARI201008060,100806,PHO01
ARI201008070,100807,PHO01
ARI201008080,100808,PHO01
ARI201008170,100817,PHO01
ARI201008180,100818,PHO01
ARI201008190,100819,PHO01
ARI201008200,100820,PHO01
ARI201008210,100821,PHO01
ARI201008220,100822,PHO01
ARI201008300,100830,PHO01
ARI201008310,100831,PHO01
ARI201009010,100901,PHO01
ARI201009030,100903,PHO01
ARI201009040,100904,PHO01
ARI201009050,100905,PHO01
ARI201009060,100906,PHO01
ARI201009070,100907,PHO01
ARI201009080,100908,PHO01
ARI201009210,100921,PHO01
ARI201009220,100922,PHO01
ARI201009230,100923,PHO01
ARI201009240,100924,PHO01
ARI201009250,100925,PHO01
ARI201009260,100926,PHO01
ARI201104080,20110408,PHO01
ARI201104090,20110409,PHO01
ARI201104100,20110410,PHO01
ARI201104110,20110411,PHO01
ARI201104120,20110412,PHO01
ARI201104130,20110413,PHO01
ARI201104150,20110415,PHO01
ARI201104160,20110416,PHO01
ARI201104170,20110417,PHO01
ARI201104250,20110425,PHO01
ARI201104260,20110426,PHO01
ARI201104270,20110427,PHO01
ARI201104280,20110428,PHO01
ARI201104290,20110429,PHO01
ARI201104300,20110430,PHO01
ARI201105010,20110501,PHO01
ARI201105030,20110503,PHO01
ARI201105040,20110504,PHO01
ARI201105050,20110505,PHO01
ARI201105160,20110516,PHO01
ARI201105170,20110517,PHO01
ARI201105180,20110518,PHO01
ARI201105190,20110519,PHO01
ARI201105200,20110520,PHO01
ARI201105210,20110521,PHO01
ARI201105220,20110522,PHO01
ARI201105300,20110530,PHO01
ARI201105310,20110531,PHO01
ARI201106010,20110601,PHO01
ARI201106020,20110602,PHO01
ARI201106030,20110603,PHO01
ARI201106040,20110604,PHO01
ARI201106050,20110605,PHO01
ARI201106140,20110614,PHO01
ARI201106150,20110615,PHO01
ARI201106160,20110616,PHO01
ARI201106170,20110617,PHO01
ARI201106180,20110618,PHO01
ARI201106190,20110619,PHO01
ARI201106270,20110627,PHO01
ARI201106280,20110628,PHO01
ARI201106290,20110629,PHO01
ARI201107150,20110715,PHO01
ARI201107160,20110716,PHO01
ARI201107170,20110717,PHO01
ARI201107180,20110718,PHO01
ARI201107190,20110719,PHO01
ARI201107200,20110720,PHO01
ARI201107210,20110721,PHO01
ARI201107220,20110722,PHO01
ARI201107230,20110723,PHO01
ARI201107240,20110724,PHO01
ARI201108050,20110805,PHO01
ARI201108060,20110806,PHO01
ARI201108070,20110807,PHO01
ARI201108080,20110808,PHO01
ARI201108090,20110809,PHO01
ARI201108100,20110810,PHO01
ARI201108110,20110811,PHO01
ARI201108120,20110812,PHO01
ARI201108130,20110813,PHO01
ARI201108140,20110814,PHO01
ARI201108260,20110826,PHO01
ARI201108270,20110827,PHO01
ARI201108280,20110828,PHO01
ARI201108290,20110829,PHO01
ARI201108300,20110830,PHO01
ARI201108310,20110831,PHO01
ARI201109080,20110908,PHO01
ARI201109090,20110909,PHO01
ARI201109100,20110910,PHO01
ARI201109110,20110911,PHO01
ARI201109190,20110919,PHO01
ARI201109200,20110920,PHO01
ARI201109210,20110921,PHO01
ARI201109230,20110923,PHO01
ARI201109240,20110924,PHO01
ARI201109250,20110925,PHO01
ARI201109260,20110926,PHO01
ARI201109270,20110927,PHO01
ARI201109280,20110928,PHO01
ARI201110040,20111004,PHO01
ARI201110050,20111005,PHO01
ARI201204060,120406,PHO01
ARI201204070,120407,PHO01
ARI201204080,120408,PHO01
ARI201204160,120416,PHO01
ARI201204170,120417,PHO01
ARI201204180,120418,PHO01
ARI201204190,120419,PHO01
ARI201204200,120420,PHO01
ARI201204210,120421,PHO01
ARI201204220,120422,PHO01
ARI201204230,120423,PHO01
ARI201204240,120424,PHO01
ARI201204250,120425,PHO01
ARI201205070,120507,PHO01
ARI201205080,120508,PHO01
ARI201205090,120509,PHO01
ARI201205110,120511,PHO01
ARI201205120,120512,PHO01
ARI201205130,120513,PHO01
ARI201205210,120521,PHO01
ARI201205220,120522,PHO01
ARI201205230,120523,PHO01
ARI201205250,120525,PHO01
ARI201205260,120526,PHO01
ARI201205270,120527,PHO01
ARI201206040,120604,PHO01
ARI201206050,120605,PHO01
ARI201206060,120606,PHO01
ARI201206080,120608,PHO01
ARI201206090,120609,PHO01
ARI201206100,120610,PHO01
ARI201206180,120618,PHO01
ARI201206190,120619,PHO01
ARI201206200,120620,PHO01
ARI201206220,120622,PHO01
ARI201206230,120623,PHO01
ARI201206240,120624,PHO01
ARI201207020,120702,PHO01
ARI201207030,120703,PHO01
ARI201207040,120704,PHO01
ARI201207050,120705,PHO01
ARI201207060,120706,PHO01
ARI201207070,120707,PHO01
ARI201207080,120708,PHO01
ARI201207200,120720,PHO01
ARI201207210,120721,PHO01
ARI201207220,120722,PHO01
ARI201207230,120723,PHO01
ARI201207240,120724,PHO01
ARI201207250,120725,PHO01
ARI201207260,120726,PHO01
ARI201207270,120727,PHO01
ARI201207280,120728,PHO01
ARI201207290,120729,PHO01
ARI201208100,120810,PHO01
ARI201208110,120811,PHO01
ARI201208120,120812,PHO01
ARI201208200,120820,PHO01
ARI201208210,120821,PHO01
ARI201208221,120822,PHO01
ARI201208222,120822,PHO01
ARI201208240,120824,PHO01
ARI201208250,120825,PHO01
ARI201208260,120826,PHO01
ARI201208270,120827,PHO01
ARI201208280,120828,PHO01
ARI201208290,120829,PHO01
ARI201209110,120911,PHO01
ARI201209120,120912,PHO01
ARI201209140,120914,PHO01
ARI201209150,120915,PHO01
ARI201209160,120916,PHO01
ARI201209180,120918,PHO01
ARI201209190,120919,PHO01
ARI201209200,120920,PHO01
ARI201209280,120928,PHO01
ARI201209290,120929,PHO01
ARI201209300,120930,PHO01
ARI201210010,121001,PHO01
